shipment_id,order_id,warehouse_city,customer_city,shipment_date,delivery_date,shipment_status,transport_cost,weight_kg,distance_km,fuel_cost,driver_id,vehicle_type
100029,500029,Bangalore,Bangalore,2025-11-18,2025-11-25,Delivered,1533,21,2693,13504,1097,Truck
100030,500030,Delhi,Jaipur,2025-04-13,2025-04-17,Delivered,3519,69,1136,8671,1009,Mini Truck
100031,500031,Bangalore,Hyderabad,2025-06-11,2025-06-20,Delivered,10735,95,1289,10197,1084,Truck
100032,500032,Pune,Lucknow,2025-11-03,,In Transit,1224,18,600,1880,1014,Mini Truck
100033,500033,Bangalore,Hyderabad,2025-08-04,2025-08-08,Delivered,6256,92,2647,13975,1033,Truck
100034,500034,Delhi,Ahmedabad,2025-10-11,2025-10-17,Delivered,11948,103,585,4614,1021,Container
100035,500035,Chennai,Ahmedabad,2025-01-10,2025-01-13,Delivered,6068,74,197,1123,1019,Container
100036,500036,Mumbai,Delhi,2025-11-12,2025-11-13,Delivered,7320,120,1515,9470,1086,Truck
100037,500037,Bangalore,Lucknow,2026-02-21,,Cancelled,6500,100,683,4955,1023,Container
100038,500038,Delhi,Pune,2025-12-07,2025-12-14,Delayed,13803,107,2793,19436,1035,Mini Truck
100039,500039,Pune,Mumbai,2026-01-27,,In Transit,7182,114,1977,7112,1059,Van
100040,500040,Bangalore,Bangalore,2025-08-17,2025-08-21,Delivered,3920,56,1394,10111,1099,Van
100041,500041,Bangalore,Lucknow,2026-02-14,2026-02-23,Delivered,2303,47,163,1193,1034,Mini Truck
100042,500042,Chennai,Hyderabad,2025-02-09,2025-02-16,Delivered,4410,49,1334,7782,1066,Truck
100043,500043,Hyderabad,Kolkata,2025-07-14,2025-07-21,Delivered,690,5,2179,11900,1093,Mini Truck
100044,500044,Bangalore,Ahmedabad,2025-03-13,,In Transit,3525,47,2602,15998,1016,Van
100045,500045,Chennai,Hyderabad,2026-02-23,2026-02-28,Delivered,4425,75,571,2747,1049,Mini Truck
100046,500046,Chennai,Kolkata,2025-11-05,2025-11-06,Delivered,2623,43,1225,5958,1075,Van
100047,500047,Hyderabad,Jaipur,2026-03-29,2026-04-07,Delivered,7735,65,745,2209,1066,Van
100048,500048,Delhi,Bangalore,2025-11-14,2025-11-18,Delivered,920,23,150,576,1061,Truck
100049,500049,Hyderabad,Ahmedabad,2025-07-19,2025-07-26,Delivered,4488,68,1686,5583,1089,Truck
100050,500050,Delhi,Ahmedabad,2025-08-13,2025-08-22,Delivered,6784,64,255,987,1016,Container
100051,500051,Mumbai,Jaipur,2025-11-21,,Cancelled,13447,119,1862,13001,1065,Container
100052,500052,Chennai,Jaipur,2025-06-12,2025-06-20,Delayed,8122,62,1111,4288,1082,Van
100053,500053,Chennai,Jaipur,2025-09-02,2025-09-04,Delivered,6240,96,1220,4873,1041,Truck
100054,500054,Mumbai,Pune,2025-08-25,2025-08-28,Delivered,4085,95,926,4427,1043,Container
100055,500055,Hyderabad,Delhi,2025-07-31,,In Transit,6696,54,2442,6367,1098,Container
100056,500056,Hyderabad,Delhi,2025-12-27,2026-01-03,Delivered,11742,114,1766,11675,1070,Mini Truck
100057,500057,Hyderabad,Bangalore,2025-10-07,2025-10-08,Delivered,6480,54,1426,8891,1052,Mini Truck
100058,500058,Hyderabad,Pune,2025-01-28,,In Transit,9520,80,2361,6254,1083,Container
100059,500059,Mumbai,Jaipur,2025-07-06,2025-07-13,Delivered,4278,46,916,3936,1098,Container
100060,500060,Bangalore,Ahmedabad,2025-09-16,,In Transit,8450,65,129,705,1045,Mini Truck
100061,500061,Pune,Mumbai,2025-02-11,2025-02-15,Delayed,3420,30,133,443,1017,Container
100062,500062,Pune,Mumbai,2025-08-12,2025-08-17,Delivered,5768,103,1560,9098,1096,Truck
100063,500063,Mumbai,Hyderabad,2025-04-21,2025-04-26,Delivered,6630,78,1587,12185,1026,Truck
100064,500064,Chennai,Bangalore,2025-04-15,2025-04-20,Delivered,15594,113,2509,7942,1073,Truck
100065,500065,Bangalore,Lucknow,2026-03-15,2026-03-17,Delivered,5382,69,2702,6943,1054,Container
100066,500066,Delhi,Ahmedabad,2026-01-06,2026-01-14,Delivered,8550,95,676,2344,1067,Van
100067,500067,Chennai,Lucknow,2026-05-11,2026-05-21,Delivered,2574,39,1370,9684,1012,Van
100068,500068,Hyderabad,Bangalore,2026-04-21,2026-04-28,Delivered,4704,48,167,1199,1024,Container
100069,500069,Mumbai,Chennai,2025-09-22,2025-10-02,Delivered,9964,94,1181,3018,1025,Truck
100070,500070,Mumbai,Ahmedabad,2026-05-16,2026-05-20,Delivered,10881,93,2000,12830,1058,Truck
100071,500071,Delhi,Hyderabad,2025-08-15,2025-08-19,Delivered,4796,44,2769,12542,1071,Van
100072,500072,Hyderabad,Lucknow,2025-12-05,2025-12-13,Delivered,2613,39,1305,4917,1093,Mini Truck
100073,500073,Bangalore,Mumbai,2025-07-09,2025-07-17,Delivered,5280,40,2464,13269,1037,Truck
100074,500074,Mumbai,Hyderabad,2025-08-21,2025-08-26,Delivered,306,6,2237,8967,1007,Van
100075,500075,Pune,Pune,2026-05-18,2026-05-19,Delivered,7410,78,1214,6231,1044,Mini Truck
100076,500076,Delhi,Hyderabad,2026-05-05,2026-05-07,Delivered,2464,56,2064,11710,1088,Truck
100077,500077,Mumbai,Pune,2025-11-08,2025-11-12,Delivered,2640,20,2335,11182,1077,Mini Truck
100078,500078,Chennai,Ahmedabad,2026-04-07,,In Transit,3827,43,2460,10281,1080,Truck
100079,500079,Chennai,Mumbai,2025-08-01,2025-08-06,Delivered,4895,89,382,1458,1071,Truck
100080,500080,Mumbai,Delhi,2026-02-23,2026-03-05,Delivered,2535,65,1242,4686,1091,Van
100081,500081,Pune,Jaipur,2025-03-14,2025-03-19,Delivered,11550,105,2610,16016,1026,Container
100082,500082,Delhi,Lucknow,2025-08-19,2025-08-24,Delivered,4840,110,632,1787,1040,Van
100083,500083,Hyderabad,Mumbai,2026-04-25,2026-05-02,Delivered,4056,39,2099,10948,1011,Truck
100084,500084,Hyderabad,Chennai,2025-09-14,2025-09-18,Delivered,10010,91,2406,18596,1098,Van
100085,500085,Chennai,Delhi,2025-06-29,2025-07-07,Delivered,4360,40,793,3883,1063,Truck
100086,500086,Hyderabad,Chennai,2026-02-23,2026-02-25,Delivered,8778,114,708,3372,1064,Van
100087,500087,Pune,Ahmedabad,2025-02-07,2025-02-13,Delivered,1813,37,1374,10766,1052,Truck
100088,500088,Pune,Lucknow,2026-04-19,2026-04-23,Delivered,8094,71,1531,10197,1081,Container
100089,500089,Delhi,Bangalore,2025-10-01,2025-10-06,Delivered,3050,61,2035,5410,1081,Mini Truck
100090,500090,Pune,Pune,2025-11-15,2025-11-24,Delivered,3591,57,431,3429,1015,Container
100091,500091,Delhi,Pune,2026-05-26,,In Transit,5250,42,2134,8544,1062,Container
100092,500092,Mumbai,Jaipur,2025-05-29,2025-06-08,Delivered,3010,70,609,2447,1054,Van
100093,500093,Chennai,Hyderabad,2025-01-03,2025-01-08,Delivered,12208,112,2454,19617,1063,Mini Truck
100094,500094,Hyderabad,Lucknow,2026-05-11,2026-05-20,Delivered,8466,102,2275,11384,1042,Mini Truck
100095,500095,Pune,Bangalore,2026-01-28,2026-02-04,Delivered,1300,10,1353,6902,1049,Container
100096,500096,Pune,Pune,2026-05-23,,Cancelled,2310,21,2107,9114,1013,Container
100097,500097,Delhi,Lucknow,2026-04-13,2026-04-16,Delivered,3078,57,2731,7951,1034,Van
100098,500098,Chennai,Ahmedabad,2025-03-24,,In Transit,9462,114,2235,17316,1081,Container
100099,500099,Chennai,Delhi,2025-03-12,2025-03-17,Delivered,3060,34,420,3309,1098,Truck
100100,500100,Hyderabad,Pune,2025-11-03,,In Transit,1360,10,1378,3870,1046,Van
100101,500101,Hyderabad,Pune,2025-09-08,2025-09-18,Delivered,5152,92,787,2725,1079,Container
100102,500102,Chennai,Bangalore,2026-05-25,,In Transit,2162,23,1001,6014,1059,Van
100103,500103,Pune,Delhi,2026-04-22,,In Transit,5005,91,2288,6649,1045,Van
100104,500104,Pune,Ahmedabad,2025-09-14,2025-09-19,Delivered,2880,30,1625,5015,1049,Van
100105,500105,Chennai,Hyderabad,2025-10-30,2025-11-06,Delivered,4280,40,83,602,1100,Truck
100106,500106,Chennai,Jaipur,2025-10-21,2025-10-25,Delayed,5166,82,1493,8960,1080,Van
100107,500107,Pune,Pune,2025-04-10,,In Transit,6438,87,211,1442,1005,Van
100108,500108,Pune,Pune,2025-04-03,,In Transit,2622,46,1751,6311,1070,Van
100109,500109,Chennai,Lucknow,2025-10-07,,In Transit,5106,37,2023,8341,1044,Truck
100110,500110,Hyderabad,Mumbai,2025-05-25,2025-05-29,Delayed,15755,115,1677,9332,1012,Container
100111,500111,Delhi,Hyderabad,2025-05-07,2025-05-12,Delivered,11060,79,1610,9679,1048,Truck
100112,500112,Pune,Bangalore,2026-04-28,2026-05-07,Delivered,2898,46,2548,15446,1082,Container
100113,500113,Pune,Hyderabad,2026-02-23,2026-02-24,Delivered,882,9,1296,4067,1031,Mini Truck
100114,500114,Hyderabad,Jaipur,2026-01-15,2026-01-24,Delivered,7540,58,2455,15948,1054,Truck
100115,500115,Hyderabad,Kolkata,2026-02-22,,In Transit,4920,40,184,834,1057,Container
100116,500116,Mumbai,Chennai,2025-04-12,,Cancelled,6084,52,2280,10197,1051,Van
100117,500117,Mumbai,Mumbai,2026-04-11,2026-04-15,Delivered,9657,87,2669,20927,1007,Van
100118,500118,Mumbai,Pune,2025-07-30,2025-08-08,Delivered,1922,31,2451,17087,1030,Van
100119,500119,Mumbai,Kolkata,2025-01-03,2025-01-06,Delivered,1407,21,2262,15589,1015,Truck
100120,500120,Mumbai,Delhi,2026-01-02,2026-01-06,Delayed,2960,80,1376,4758,1007,Mini Truck
100121,500121,Pune,Ahmedabad,2026-06-23,2026-06-25,Delivered,8710,65,1886,8470,1076,Truck
100122,500122,Hyderabad,Lucknow,2025-08-15,,In Transit,1010,10,2748,11428,1083,Truck
100123,500123,Delhi,Jaipur,2026-02-16,2026-02-18,Delivered,2948,67,1866,13894,1042,Mini Truck
100124,500124,Delhi,Pune,2025-10-09,2025-10-19,Delivered,6225,75,1381,11007,1068,Van
100125,500125,Hyderabad,Lucknow,2026-03-17,2026-03-19,Delivered,13452,114,2731,20011,1071,Mini Truck
100126,500126,Hyderabad,Jaipur,2025-08-22,2025-08-30,Delivered,7168,56,1753,5299,1055,Van
100127,500127,Pune,Hyderabad,2026-01-19,,Cancelled,3956,92,1992,5979,1011,Truck
100128,500128,Hyderabad,Mumbai,2026-01-17,2026-01-26,Delayed,1272,12,2452,13704,1086,Truck
100129,500129,Hyderabad,Chennai,2026-03-10,,In Transit,6887,97,260,1508,1046,Truck
100130,500130,Chennai,Lucknow,2025-08-06,2025-08-14,Delivered,2607,33,493,3524,1048,Truck
100131,500131,Bangalore,Kolkata,2025-08-20,2025-08-29,Delayed,11639,103,2596,16127,1072,Truck
100132,500132,Chennai,Hyderabad,2025-01-30,2025-02-04,Delivered,1680,48,1487,5201,1019,Container
100133,500133,Delhi,Pune,2025-02-01,2025-02-10,Delivered,2816,32,1590,7942,1021,Van
100134,500134,Bangalore,Chennai,2025-03-28,,In Transit,3144,24,694,4093,1087,Truck
100135,500135,Bangalore,Jaipur,2026-03-11,2026-03-19,Delivered,3596,58,1168,7769,1015,Van
100136,500136,Hyderabad,Mumbai,2025-10-18,2025-10-28,Delivered,8040,67,2208,9265,1029,Container
100137,500137,Chennai,Delhi,2025-01-08,2025-01-12,Delivered,13596,103,612,2390,1042,Truck
100138,500138,Delhi,Jaipur,2026-03-17,2026-03-24,Delivered,7227,73,992,5528,1086,Van
100139,500139,Delhi,Ahmedabad,2025-02-13,2025-02-21,Delivered,1512,14,1332,6474,1052,Container
100140,500140,Bangalore,Mumbai,2026-02-19,2026-02-25,Delivered,2418,26,2581,18263,1047,Truck
100141,500141,Hyderabad,Mumbai,2025-09-07,2025-09-14,Delivered,6120,72,372,2711,1096,Van
100142,500142,Mumbai,Chennai,2025-06-22,2025-06-24,Delivered,4248,72,2138,15997,1045,Van
100143,500143,Pune,Pune,2025-08-30,2025-09-04,Delivered,3360,30,760,2538,1098,Truck
100144,500144,Mumbai,Jaipur,2026-04-21,2026-05-01,Delayed,7254,62,2362,14158,1080,Van
100145,500145,Pune,Chennai,2025-06-04,2025-06-12,Delivered,4453,61,2636,18135,1076,Truck
100146,500146,Bangalore,Lucknow,2025-03-17,2025-03-25,Delivered,738,9,283,2002,1010,Truck
100147,500147,Chennai,Kolkata,2026-06-04,2026-06-14,Delivered,6900,75,218,1634,1074,Mini Truck
100148,500148,Bangalore,Kolkata,2026-05-03,2026-05-04,Delivered,8556,62,473,3521,1044,Truck
100149,500149,Chennai,Pune,2025-02-10,2025-02-18,Delivered,6161,61,2196,12855,1047,Van
100150,500150,Bangalore,Ahmedabad,2026-02-23,2026-03-05,Delayed,1287,11,2634,11433,1043,Truck
100151,500151,Chennai,Ahmedabad,2025-10-18,2025-10-28,Delivered,8932,116,665,1960,1085,Mini Truck
100152,500152,Bangalore,Hyderabad,2026-02-06,2026-02-08,Delivered,3652,44,2339,14125,1043,Mini Truck
100153,500153,Pune,Lucknow,2025-04-06,2025-04-13,Delivered,2590,70,1532,6885,1024,Mini Truck
100154,500154,Bangalore,Jaipur,2025-07-16,2025-07-19,Delivered,1728,24,366,2614,1013,Truck
100155,500155,Pune,Chennai,2025-05-15,2025-05-18,Delivered,3075,25,790,5325,1022,Container
100156,500156,Delhi,Ahmedabad,2026-01-09,2026-01-13,Delivered,4331,61,2550,16927,1058,Mini Truck
100157,500157,Chennai,Bangalore,2025-11-13,,Cancelled,6195,105,1971,8915,1074,Container
100158,500158,Hyderabad,Hyderabad,2026-01-27,2026-02-03,Delivered,3425,25,867,5050,1033,Truck
100159,500159,Pune,Jaipur,2026-01-16,2026-01-18,Delivered,4800,96,2163,8798,1098,Mini Truck
100160,500160,Bangalore,Jaipur,2026-06-10,2026-06-17,Delivered,2224,16,959,4776,1045,Truck
100161,500161,Hyderabad,Delhi,2026-02-10,2026-02-14,Delivered,4428,54,384,1434,1041,Truck
100162,500162,Pune,Chennai,2025-05-30,2025-06-04,Delivered,13764,111,1985,14036,1098,Container
100163,500163,Hyderabad,Kolkata,2025-01-06,,In Transit,434,7,1098,7787,1071,Container
100164,500164,Delhi,Hyderabad,2025-09-01,2025-09-02,Delivered,4060,35,1769,12146,1059,Truck
100165,500165,Delhi,Jaipur,2025-01-17,2025-01-27,Delivered,2520,35,638,3101,1079,Van
100166,500166,Mumbai,Kolkata,2026-03-03,2026-03-05,Delivered,3096,72,1527,11824,1070,Truck
100167,500167,Hyderabad,Jaipur,2025-02-14,2025-02-20,Delivered,2960,37,116,793,1045,Mini Truck
100168,500168,Pune,Mumbai,2025-12-07,2025-12-13,Delivered,10286,74,1436,8666,1100,Container
100169,500169,Pune,Jaipur,2025-07-06,2025-07-08,Delayed,3744,96,1924,7915,1006,Mini Truck
100170,500170,Delhi,Chennai,2025-11-14,2025-11-23,Delivered,2535,65,1087,7221,1025,Van
100171,500171,Bangalore,Delhi,2025-12-06,2025-12-12,Delivered,7800,60,1688,8302,1050,Van
100172,500172,Mumbai,Jaipur,2026-05-25,2026-06-03,Delivered,4992,39,388,1875,1056,Mini Truck
100173,500173,Chennai,Hyderabad,2025-11-25,2025-12-01,Delivered,6586,89,1260,6240,1092,Container
100174,500174,Mumbai,Jaipur,2025-12-26,2026-01-01,Delivered,5810,83,1831,11017,1008,Truck
100175,500175,Pune,Ahmedabad,2026-01-08,2026-01-11,Delivered,896,8,634,3949,1057,Truck
100176,500176,Mumbai,Mumbai,2025-08-30,2025-09-05,Delayed,5457,51,1618,4333,1020,Container
100177,500177,Bangalore,Chennai,2026-03-31,2026-04-10,Delayed,1782,22,2218,10400,1084,Van
100178,500178,Mumbai,Mumbai,2025-01-27,2025-02-04,Delayed,7526,71,1635,5146,1100,Van
100179,500179,Pune,Jaipur,2025-08-08,,Cancelled,2460,41,2061,6542,1010,Container
100180,500180,Mumbai,Jaipur,2025-03-31,2025-04-06,Delayed,11250,90,1473,4208,1070,Van
100181,500181,Bangalore,Pune,2025-06-28,2025-07-07,Delayed,1980,33,547,3750,1031,Container
100182,500182,Delhi,Chennai,2026-01-13,2026-01-22,Delivered,966,21,2556,7314,1051,Container
100183,500183,Chennai,Ahmedabad,2026-02-24,,In Transit,1050,14,563,3396,1058,Container
100184,500184,Pune,Lucknow,2025-12-19,2025-12-28,Delivered,4988,86,2457,16517,1017,Container
100185,500185,Chennai,Delhi,2025-05-08,2025-05-13,Delivered,1976,26,713,5448,1029,Van
100186,500186,Chennai,Hyderabad,2025-03-22,2025-03-31,Delivered,4600,40,562,2341,1069,Truck
100187,500187,Chennai,Pune,2025-06-07,2025-06-17,Delivered,7566,97,2528,18034,1073,Truck
100188,500188,Delhi,Mumbai,2025-02-16,,In Transit,7004,103,2412,14667,1099,Container
100189,500189,Chennai,Delhi,2026-05-25,,In Transit,8658,74,1236,9593,1062,Mini Truck
100190,500190,Pune,Ahmedabad,2025-11-01,2025-11-02,Delivered,2200,25,1850,9552,1027,Van
100191,500191,Chennai,Pune,2025-11-17,,In Transit,3870,45,1464,4712,1048,Truck
100192,500192,Bangalore,Bangalore,2026-04-23,2026-05-01,Delivered,1692,36,627,1742,1050,Container
100193,500193,Mumbai,Pune,2025-12-02,,In Transit,5723,97,1330,8907,1064,Container
100194,500194,Hyderabad,Hyderabad,2026-05-25,2026-06-01,Delivered,4485,69,1922,7079,1046,Truck
100195,500195,Delhi,Hyderabad,2026-05-22,2026-05-30,Delivered,1476,41,2248,16094,1056,Mini Truck
100196,500196,Bangalore,Chennai,2026-02-17,2026-02-24,Delivered,1166,11,2385,8515,1071,Van
100197,500197,Delhi,Ahmedabad,2026-06-01,2026-06-10,Delivered,4880,40,2602,15249,1017,Truck
100198,500198,Hyderabad,Chennai,2025-12-14,2025-12-20,Delivered,6060,101,640,3720,1052,Truck
100199,500199,Delhi,Delhi,2025-05-21,2025-05-29,Delivered,3834,71,1921,11207,1066,Mini Truck
100200,500200,Bangalore,Kolkata,2025-11-23,2025-12-03,Delivered,10890,99,1275,5546,1066,Container
100201,500201,Pune,Kolkata,2025-11-03,2025-11-04,Delivered,6292,52,1406,4362,1054,Van
100202,500202,Pune,Delhi,2026-05-01,2026-05-11,Delivered,9906,78,982,2732,1062,Mini Truck
100203,500203,Chennai,Kolkata,2026-01-25,2026-01-29,Delivered,1116,9,2395,7435,1003,Container
100204,500204,Bangalore,Ahmedabad,2025-06-05,2025-06-09,Delivered,7638,57,2105,12341,1061,Truck
100205,500205,Pune,Pune,2026-06-16,2026-06-22,Delivered,9078,89,2009,9186,1023,Container
100206,500206,Chennai,Chennai,2025-12-29,2026-01-03,Delivered,4897,83,2033,15786,1036,Van
100207,500207,Mumbai,Hyderabad,2025-10-23,2025-10-31,Delivered,3555,45,2015,11249,1093,Van
100208,500208,Bangalore,Mumbai,2026-01-24,,In Transit,7315,55,1463,10131,1038,Truck
100209,500209,Bangalore,Mumbai,2025-12-21,,In Transit,11440,88,1100,5648,1026,Van
100210,500210,Chennai,Hyderabad,2025-05-21,2025-05-31,Delivered,1435,35,1043,6450,1068,Mini Truck
100211,500211,Pune,Bangalore,2025-02-23,2025-03-01,Delivered,4512,96,1984,12393,1018,Truck
100212,500212,Chennai,Pune,2026-02-21,2026-03-01,Delivered,3960,66,2714,18068,1037,Van
100213,500213,Bangalore,Delhi,2025-04-02,2025-04-06,Delivered,4161,73,202,969,1023,Truck
100214,500214,Hyderabad,Jaipur,2025-07-10,,In Transit,4524,116,1235,3150,1073,Truck
100215,500215,Bangalore,Hyderabad,2026-04-11,,Cancelled,7252,74,2197,16237,1018,Container
100216,500216,Bangalore,Bangalore,2025-04-26,2025-05-04,Delivered,10962,87,1103,3887,1095,Van
100217,500217,Bangalore,Kolkata,2025-07-17,2025-07-24,Delivered,11000,110,1801,7750,1052,Truck
100218,500218,Mumbai,Pune,2026-05-04,2026-05-08,Delivered,420,5,1118,4243,1097,Van
100219,500219,Bangalore,Hyderabad,2025-01-12,2025-01-18,Delivered,3906,93,1017,6277,1060,Van
100220,500220,Mumbai,Ahmedabad,2026-05-30,,In Transit,14514,118,1323,4161,1038,Van
100221,500221,Chennai,Bangalore,2025-08-13,,Cancelled,6138,66,677,4476,1078,Van
100222,500222,Hyderabad,Lucknow,2026-04-28,2026-05-02,Delayed,12444,102,1063,7070,1011,Container
100223,500223,Chennai,Chennai,2025-03-21,,In Transit,1995,19,302,2254,1026,Mini Truck
100224,500224,Mumbai,Chennai,2026-06-17,2026-06-21,Delivered,9312,96,2438,7314,1066,Container
100225,500225,Delhi,Jaipur,2025-05-16,2025-05-24,Delivered,8162,77,286,1442,1040,Truck
100226,500226,Hyderabad,Hyderabad,2025-01-04,2025-01-14,Delayed,1246,14,235,1032,1009,Truck
100227,500227,Delhi,Jaipur,2025-02-02,2025-02-05,Delivered,13699,103,604,3641,1094,Container
100228,500228,Bangalore,Ahmedabad,2026-04-05,,In Transit,2385,53,1588,9932,1085,Mini Truck
100229,500229,Pune,Chennai,2025-05-02,2025-05-11,Delivered,2805,55,2216,14411,1029,Truck
100230,500230,Delhi,Hyderabad,2026-04-20,2026-04-29,Delivered,4897,59,2228,15659,1032,Container
100231,500231,Bangalore,Pune,2025-10-10,2025-10-12,Delivered,792,9,2754,16199,1003,Mini Truck
100232,500232,Mumbai,Mumbai,2025-04-14,2025-04-22,Delivered,5346,81,249,1636,1052,Container
100233,500233,Mumbai,Lucknow,2025-08-11,2025-08-12,Delayed,1584,22,2113,8003,1094,Van
100234,500234,Chennai,Kolkata,2025-11-25,2025-11-28,Delivered,5607,89,2185,10432,1036,Truck
100235,500235,Chennai,Kolkata,2025-06-29,2025-07-06,Delivered,3116,76,2080,16323,1083,Container
100236,500236,Chennai,Chennai,2026-03-03,2026-03-08,Delivered,6943,53,803,4383,1031,Mini Truck
100237,500237,Bangalore,Pune,2026-04-20,,In Transit,6688,76,1740,9683,1018,Container
100238,500238,Mumbai,Hyderabad,2025-07-28,2025-07-30,Delivered,2852,62,1569,8544,1025,Truck
100239,500239,Bangalore,Ahmedabad,2025-02-10,,In Transit,3683,29,2456,15209,1028,Container
100240,500240,Mumbai,Chennai,2025-11-07,,Cancelled,354,6,917,7144,1016,Container
100241,500241,Mumbai,Kolkata,2025-07-29,2025-08-02,Delivered,10050,75,1367,5545,1060,Van
100242,500242,Bangalore,Hyderabad,2026-01-04,2026-01-12,Delivered,8768,64,453,3577,1061,Van
100243,500243,Mumbai,Chennai,2025-11-17,2025-11-27,Delivered,14835,115,956,3157,1034,Container
100244,500244,Bangalore,Pune,2025-07-20,2025-07-27,Delivered,7546,77,1056,5838,1088,Van
100245,500245,Bangalore,Jaipur,2026-05-18,2026-05-24,Delivered,3302,26,623,3430,1024,Truck
100246,500246,Chennai,Delhi,2025-03-18,,In Transit,11880,90,248,628,1018,Mini Truck
100247,500247,Delhi,Pune,2025-01-10,2025-01-18,Delivered,5928,52,297,1784,1079,Container
100248,500248,Pune,Jaipur,2025-01-17,2025-01-26,Delivered,2109,57,98,530,1036,Van
100249,500249,Delhi,Lucknow,2026-03-17,2026-03-20,Delayed,1836,18,444,1473,1025,Van
100250,500250,Bangalore,Hyderabad,2026-02-11,2026-02-18,Delivered,4158,63,2364,18785,1029,Van
100251,500251,Pune,Mumbai,2025-02-02,2025-02-09,Delivered,5035,53,2313,6496,1002,Mini Truck
100252,500252,Delhi,Jaipur,2026-03-21,2026-03-27,Delivered,7854,77,440,3324,1030,Mini Truck
100253,500253,Pune,Kolkata,2026-05-02,2026-05-04,Delivered,9568,92,1198,6707,1005,Mini Truck
100254,500254,Bangalore,Delhi,2025-08-01,2025-08-08,Delivered,770,14,1275,7142,1073,Container
100255,500255,Pune,Lucknow,2025-12-06,2025-12-09,Delivered,10494,106,371,2448,1045,Truck
100256,500256,Delhi,Ahmedabad,2025-08-26,,In Transit,6384,48,2528,14855,1077,Container
100257,500257,Bangalore,Delhi,2025-10-07,2025-10-15,Delayed,5360,67,984,5453,1049,Container
100258,500258,Mumbai,Kolkata,2026-01-25,2026-02-04,Delivered,5292,42,1059,3075,1035,Mini Truck
100259,500259,Hyderabad,Pune,2026-02-03,2026-02-05,Delivered,1184,16,71,351,1098,Van
100260,500260,Delhi,Pune,2025-03-31,2025-04-08,Delivered,7600,76,2322,11016,1004,Truck
